model,dataset,format,panel,n_seeds,accuracy_mean_over_seeds,accuracy_seed0,n_evaluated_seed0,n_missing_ground_truth_seed0,published_table4,delta_vs_published
gpt-3.5-0125,titanic,original,A_memorized,3,0.8122,0.8148,891,0,0.81,0.0022
gpt-3.5-0125,titanic,perturbed,A_memorized,3,0.7811,0.789,891,0,0.78,0.0011
gpt-3.5-0125,titanic,task,A_memorized,3,0.774,0.7733,891,0,0.77,0.004
gpt-3.5-0125,titanic,statistical,A_memorized,3,0.6147,0.6083,891,0,0.61,0.0047
gpt-3.5-0125,adult,original,A_memorized,3,0.7773,0.771,1000,0,0.78,-0.0027
gpt-3.5-0125,adult,perturbed,A_memorized,3,0.7817,0.774,1000,0,,
gpt-3.5-0125,adult,task,A_memorized,3,0.7487,0.743,1000,0,0.75,-0.0013
gpt-3.5-0125,adult,statistical,A_memorized,3,0.7,0.7,1000,0,0.7,-0.0
gpt-3.5-0125,openml-diabetes,original,A_memorized,3,0.7374,0.7396,768,0,0.74,-0.0026
gpt-3.5-0125,openml-diabetes,perturbed,A_memorized,3,0.7287,0.7292,768,0,,
gpt-3.5-0125,openml-diabetes,task,A_memorized,3,0.6979,0.7057,768,0,,
gpt-3.5-0125,openml-diabetes,statistical,A_memorized,3,0.6766,0.6849,768,0,0.68,-0.0034
gpt-3.5-0125,uci-wine,original,A_memorized,3,0.8783,0.8989,178,0,0.88,-0.0017
gpt-3.5-0125,uci-wine,perturbed,A_memorized,3,0.8764,0.8764,178,0,,
gpt-3.5-0125,uci-wine,task,A_memorized,3,0.8652,0.8652,178,0,0.87,-0.0048
gpt-3.5-0125,uci-wine,statistical,A_memorized,3,0.8614,0.882,178,0,,
gpt-3.5-0125,iris,original,A_memorized,3,0.9844,0.9867,150,0,0.98,0.0044
gpt-3.5-0125,iris,perturbed,A_memorized,3,0.9511,0.9333,150,0,0.95,0.0011
gpt-3.5-0125,iris,task,A_memorized,3,0.9533,0.94,150,0,,
gpt-3.5-0125,iris,statistical,A_memorized,3,0.8711,0.8667,150,0,0.87,0.0011
gpt-3.5-0125,spaceship-titanic,original,B_novel,3,0.5763,0.567,1000,0,0.58,-0.0037
gpt-3.5-0125,spaceship-titanic,perturbed,B_novel,3,0.574,0.576,1000,0,,
gpt-3.5-0125,spaceship-titanic,task,B_novel,3,0.5943,0.593,1000,0,,
gpt-3.5-0125,spaceship-titanic,statistical,B_novel,3,0.627,0.607,1000,0,0.63,-0.003
gpt-3.5-0125,acs-income,original,B_novel,3,0.7757,0.767,1000,0,0.78,-0.0043
gpt-3.5-0125,acs-income,perturbed,B_novel,3,0.7707,0.76,1000,0,,
gpt-3.5-0125,acs-income,task,B_novel,3,0.7717,0.767,1000,0,0.77,0.0017
gpt-3.5-0125,acs-income,statistical,B_novel,3,0.5857,0.579,1000,0,0.59,-0.0043
gpt-3.5-0125,icu,original,B_novel,7,0.6947,0.7059,102,0,0.69,0.0047
gpt-3.5-0125,icu,perturbed,B_novel,7,0.6877,0.7549,102,0,,
gpt-3.5-0125,icu,task,B_novel,7,0.6667,0.7157,102,0,,
gpt-3.5-0125,icu,statistical,B_novel,7,0.57,0.5588,102,0,,
gpt-3.5-0125,fico,original,B_novel,3,0.5896,0.5778,938,62,0.58,0.0096
gpt-3.5-0125,fico,perturbed,B_novel,3,0.5792,0.565,938,62,,
gpt-3.5-0125,fico,task,B_novel,3,0.6222,0.6109,938,62,,
gpt-3.5-0125,fico,statistical,B_novel,3,0.5958,0.608,995,5,,
gpt-3.5-0125,acs-travel,original,B_novel,3,0.5427,0.547,1000,0,0.54,0.0027
gpt-3.5-0125,acs-travel,perturbed,B_novel,3,0.538,0.545,1000,0,,
gpt-3.5-0125,acs-travel,task,B_novel,3,0.5443,0.532,1000,0,,
gpt-3.5-0125,acs-travel,statistical,B_novel,3,0.5167,0.505,1000,0,,
gpt4,titanic,original,A_memorized,1,0.9574,0.9574,891,0,0.96,-0.0026
gpt4,titanic,perturbed,A_memorized,1,0.8227,0.8227,891,0,0.82,0.0027
gpt4,titanic,task,A_memorized,1,0.8047,0.8047,891,0,0.8,0.0047
gpt4,titanic,statistical,A_memorized,1,0.6543,0.6543,891,0,0.65,0.0043
gpt4,adult,original,A_memorized,1,0.814,0.814,1000,0,0.81,0.004
gpt4,adult,perturbed,A_memorized,1,0.813,0.813,1000,0,,
gpt4,adult,task,A_memorized,1,0.793,0.793,1000,0,0.79,0.003
gpt4,adult,statistical,A_memorized,1,0.631,0.631,1000,0,0.63,0.001
gpt4,openml-diabetes,original,A_memorized,1,0.7383,0.7383,768,0,0.74,-0.0017
gpt4,openml-diabetes,perturbed,A_memorized,1,0.7318,0.7318,768,0,,
gpt4,openml-diabetes,task,A_memorized,1,0.7266,0.7266,768,0,,
gpt4,openml-diabetes,statistical,A_memorized,1,0.6198,0.6198,768,0,0.62,-0.0002
gpt4,uci-wine,original,A_memorized,1,0.9607,0.9607,178,0,0.96,0.0007
gpt4,uci-wine,perturbed,A_memorized,1,0.9494,0.9494,178,0,,
gpt4,uci-wine,task,A_memorized,1,0.8652,0.8652,178,0,0.87,-0.0048
gpt4,uci-wine,statistical,A_memorized,1,0.9045,0.9045,178,0,,
gpt4,iris,original,A_memorized,1,0.9867,0.9867,150,0,0.99,-0.0033
gpt4,iris,perturbed,A_memorized,1,0.9533,0.9533,150,0,0.95,0.0033
gpt4,iris,task,A_memorized,1,0.9467,0.9467,150,0,,
gpt4,iris,statistical,A_memorized,1,0.92,0.92,150,0,0.92,0.0
gpt4,spaceship-titanic,original,B_novel,1,0.667,0.667,1000,0,0.67,-0.003
gpt4,spaceship-titanic,perturbed,B_novel,1,0.674,0.674,1000,0,,
gpt4,spaceship-titanic,task,B_novel,1,0.654,0.654,1000,0,,
gpt4,spaceship-titanic,statistical,B_novel,1,0.655,0.655,1000,0,0.66,-0.005
gpt4,acs-income,original,B_novel,1,0.784,0.784,1000,0,0.78,0.004
gpt4,acs-income,perturbed,B_novel,1,0.776,0.776,1000,0,,
gpt4,acs-income,task,B_novel,1,0.766,0.766,1000,0,0.77,-0.004
gpt4,acs-income,statistical,B_novel,1,0.573,0.573,1000,0,0.57,0.003
gpt4,icu,original,B_novel,1,0.6863,0.6863,102,0,0.69,-0.0037
gpt4,icu,perturbed,B_novel,1,0.7059,0.7059,102,0,,
gpt4,icu,task,B_novel,1,0.7059,0.7059,102,0,,
gpt4,icu,statistical,B_novel,1,0.549,0.549,102,0,,
gpt4,fico,original,B_novel,1,0.6802,0.6802,938,62,0.67,0.0102
gpt4,fico,perturbed,B_novel,1,0.678,0.678,938,62,,
gpt4,fico,task,B_novel,1,0.6908,0.6908,938,62,,
gpt4,fico,statistical,B_novel,1,0.595,0.595,995,5,,
gpt4,acs-travel,original,B_novel,1,0.616,0.616,1000,0,0.62,-0.004
gpt4,acs-travel,perturbed,B_novel,1,0.616,0.616,1000,0,,
gpt4,acs-travel,task,B_novel,1,0.653,0.653,1000,0,,
gpt4,acs-travel,statistical,B_novel,1,0.479,0.479,1000,0,,
